"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Hawaiian Algal Database"	"6614b710-1dc5-11de-be11-b8a03c50a862"	"OCCURRENCE"	"true"	"2486"	"0"	"605b1e84-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"58172c10-1dc5-11de-be11-b8a03c50a862"	"University of Hawaii"	"Pacific Biodiversity Information Forum"	"unknown or invalid"	"2010-05-04"					"YES"
"Joseph F. Rock Herbarium"	"96beb7d8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1"	"0"	"5fdc1b3e-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"58172c10-1dc5-11de-be11-b8a03c50a862"	"University of Hawaii"	"Pacific Biodiversity Information Forum"	"unknown or invalid"	"2009-06-23"	"DIGIR"	"http://128.171.206.60/digir/DiGIR.php"	"2017-05-29"	"ABORT"	"YES"
