"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Vietnam Type Culture Collection"	"2b016c65-5b3d-4517-9b3c-d04a5234de48"	"OCCURRENCE"	"true"	"2082"	"0"	"cc5c9fb8-fff1-4b54-9373-545425e18b99"	"IPT_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2012-08-16"	"DWC_ARCHIVE"	"http://gcm.wfcc.info/ipt/archive.do?r=vtcc"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"DSMZ - List of Bacteria"	"85507ae0-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"ATCC Bacteria Collection Catalog"	"855199ca-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"3537"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"ATCC Fungi Collection Catalog"	"8552b53a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"6627"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"CCUG Microorganisms databases(Bacteria)"	"8553e1c6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1474"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2015-07-16"	"ABORT"	"TRUE"	"YES"
"CCUG Microorganisms databases(Fungi)"	"85550114-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"93"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"CBS Bacteria Database"	"85562800-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"479"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"CBS Filamentous Fungi Database"	"85574fe6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"8503"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"CECT Spanish Type Culture Collection(Bacteria)"	"85586d4a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"598"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"CECT Spanish Type Culture Collection(Fungi)"	"85599242-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"399"	"0"	"601e7d94-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8273e420-46f3-11d8-aa2e-b8a03c50a862"	"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)"	"World Federation for Culture Collections"	"China"	"2007-04-03"	"DIGIR"	"http://wdcm.nig.ac.jp:8080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
