"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Phanerogamic Botanical Collections (S)"	"0943f690-fde5-11dd-83f4-b8a03c50a862"	"OCCURRENCE"	"true"	"1030627"	"0"	"4346b227-ca68-4d54-8a77-909148492e0b"	"IPT_INSTALLATION"	"4c415e40-1e21-11de-9e40-a0d6ecebb8bf"	"GBIF-Sweden"	"Sweden"	"Sweden"	"2010-05-04"	"DWC_ARCHIVE"	"http://www.gbif.se/ipt/archive.do?r=s-fbo"	"2016-01-07"	"NORMAL"	"TRUE"	"YES"
"Zoology (Museum of Evolution - Uppsala)"	"15b04450-0c60-11dd-84cd-b8a03c50a862"	"OCCURRENCE"	"true"	"199278"	"0"	"4346b227-ca68-4d54-8a77-909148492e0b"	"IPT_INSTALLATION"	"4c415e40-1e21-11de-9e40-a0d6ecebb8bf"	"GBIF-Sweden"	"Sweden"	"Sweden"	"2010-05-04"	"DWC_ARCHIVE"	"http://www.gbif.se/ipt/archive.do?r=em-zoology"	"2016-01-07"	"NORMAL"	"TRUE"	"YES"
"SLU Aqua Institute of Coastal Research Database for Coastal Fish - KUL"	"1b7e83a0-0c61-11dd-84ce-b8a03c50a862"	"OCCURRENCE"	"true"	"145959"	"0"	"4346b227-ca68-4d54-8a77-909148492e0b"	"IPT_INSTALLATION"	"4c415e40-1e21-11de-9e40-a0d6ecebb8bf"	"GBIF-Sweden"	"Sweden"	"Sweden"	"2010-05-04"	"DWC_ARCHIVE"	"http://www.gbif.se/ipt/archive.do?r=fiv-icr"	"2016-01-07"	"NORMAL"	"TRUE"	"YES"
"Invertebrates Collection of the Swedish Museum of Natural History"	"56aa0680-0c60-11dd-84cd-b8a03c50a862"	"OCCURRENCE"	"true"	"144765"	"0"	"4346b227-ca68-4d54-8a77-909148492e0b"	"IPT_INSTALLATION"	"4c415e40-1e21-11de-9e40-a0d6ecebb8bf"	"GBIF-Sweden"	"Sweden"	"Sweden"	"2010-05-04"	"DWC_ARCHIVE"	"http://www.gbif.se/ipt/archive.do?r=nrm-invertebrates"	"2016-01-05"	"NORMAL"	"TRUE"	"YES"
"Meadow and Pasture Inventory (SJV)"	"59bc8df0-0c71-11dd-84d4-b8a03c50a862"	"OCCURRENCE"	"true"	"419514"	"0"	"4346b227-ca68-4d54-8a77-909148492e0b"	"IPT_INSTALLATION"	"4c415e40-1e21-11de-9e40-a0d6ecebb8bf"	"GBIF-Sweden"	"Sweden"	"Sweden"	"2010-05-04"	"DWC_ARCHIVE"	"http://www.gbif.se/ipt/archive.do?r=sjv-tuva"	"2016-01-07"	"NORMAL"	"TRUE"	"YES"
"Mosses (S)"	"9070a460-0c6e-11dd-84d2-b8a03c50a862"	"OCCURRENCE"	"true"	"209691"	"0"	"4346b227-ca68-4d54-8a77-909148492e0b"	"IPT_INSTALLATION"	"4c415e40-1e21-11de-9e40-a0d6ecebb8bf"	"GBIF-Sweden"	"Sweden"	"Sweden"	"2010-05-04"	"DWC_ARCHIVE"	"http://www.gbif.se/ipt/archive.do?r=s-bryophytes"	"2016-01-07"	"NORMAL"	"TRUE"	"YES"
"National Forest Inventory (SLU)"	"c46708d0-12aa-11dd-9ff0-b8a03c50a862"	"OCCURRENCE"	"true"	"347525"	"0"	"4346b227-ca68-4d54-8a77-909148492e0b"	"IPT_INSTALLATION"	"4c415e40-1e21-11de-9e40-a0d6ecebb8bf"	"GBIF-Sweden"	"Sweden"	"Sweden"	"2010-05-04"	"DWC_ARCHIVE"	"http://www.gbif.se/ipt/archive.do?r=slu260-markinventeringen"	"2016-01-22"	"NORMAL"	"TRUE"	"YES"
"Fungi (S)"	"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862"	"OCCURRENCE"	"true"	"327284"	"0"	"4346b227-ca68-4d54-8a77-909148492e0b"	"IPT_INSTALLATION"	"4c415e40-1e21-11de-9e40-a0d6ecebb8bf"	"GBIF-Sweden"	"Sweden"	"Sweden"	"2010-05-04"	"DWC_ARCHIVE"	"http://www.gbif.se/ipt/archive.do?r=s-fungi"	"2016-01-05"	"NORMAL"	"TRUE"	"YES"
