"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Avena wild species collection. (N.I.Vavilov Institute of Plant Genetic Resources (VIR))"	"f875121b-07ae-4b44-a928-9fb793874d54"	"OCCURRENCE"	"true"	"1639"	"0"	"b77901f9-d9b0-47fa-94e0-dd96450aa2b4"	"IPT_INSTALLATION"	"8d30d714-63f5-4f6f-a1a4-d73d09aa60c4"	"N. I. Vavilov Institute of Plant Genetic Resources (VIR)"	"Nordic Genetic Resource Center"	"Sweden"	"2015-05-25"	"DWC_ARCHIVE"	"http://91.151.189.38:8080/viript/archive.do?r=avena_wild_coll_2"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Avena wild species VIR Herbarium. N.I.Vavilov Institute of Plant Genetic Resources (VIR)"	"ab48f1c2-7964-40ce-9274-b5ed65060424"	"OCCURRENCE"	"true"	"311"	"0"	"b77901f9-d9b0-47fa-94e0-dd96450aa2b4"	"IPT_INSTALLATION"	"8d30d714-63f5-4f6f-a1a4-d73d09aa60c4"	"N. I. Vavilov Institute of Plant Genetic Resources (VIR)"	"Nordic Genetic Resource Center"	"Sweden"	"2015-05-25"	"DWC_ARCHIVE"	"http://91.151.189.38:8080/viript/archive.do?r=Avena_herbarium1"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Rye, Barley, Oats Genetic Resources. N.I.Vavilov Research Institute of Plant Industry, St. Petersburg"	"6e2b3706-4e87-428d-a860-beae8ccfef9f"	"OCCURRENCE"	"true"	"4129"	"0"	"b77901f9-d9b0-47fa-94e0-dd96450aa2b4"	"IPT_INSTALLATION"	"8d30d714-63f5-4f6f-a1a4-d73d09aa60c4"	"N. I. Vavilov Institute of Plant Genetic Resources (VIR)"	"Nordic Genetic Resource Center"	"Sweden"	"2015-02-27"	"DWC_ARCHIVE"	"http://91.151.189.38:8080/viript/archive.do?r=test_vovkor3"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Nordic Genetic Resources"	"85a347c0-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"37641"	"0"	"604f70d4-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"b9c5f740-34d9-11de-baf5-e00d96b185ef"	"Nordic Genetic Resource Center (NORDGEN)"	"Nordic Genetic Resource Center"	"Sweden"	"2007-03-28"					"FALSE"	"YES"
