"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Three new species of the millipede genus Hyleoglomeris Verhoeff, 1910 from the Aegean region of Greece (Diplopoda, Glomerida, Glomeridae)"	"a74431ec-9954-411a-801e-2acdb14caf93"	"CHECKLIST"	"true"	"9"	"9"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1000.zip"	"2017-05-29"	"ABORT"	"YES"
"Eupolybothrus cavernicolus Komerički & Stoev sp. n. (Chilopoda: Lithobiomorpha: Lithobiidae): the first eukaryotic species description combining transcriptomic, DNA barcoding and micro-CT imaging data"	"27957fd4-1293-4907-be38-8578baca8368"	"CHECKLIST"	"true"	"10"	"8"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_1013.zip"	"2017-05-29"	"ABORT"	"YES"
"Xanthichthys greenei , a new species of triggerfish (   Balistidae ) from the Line Islands"	"93814afc-6a43-435c-bc18-93ed1f2192a8"	"CHECKLIST"	"true"	"5"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_994.zip"	"2017-05-29"	"ABORT"	"YES"
"Spider hosts (Arachnida, Araneae) and wasp parasitoids (Insecta, Hymenoptera, Ichneumonidae, Ephialtini) matched using DNA barcodes"	"e3f27685-1974-4cb9-9fb4-0b1f8e9430c4"	"CHECKLIST"	"true"	"12"	"13"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_992.zip"	"2017-05-29"	"ABORT"	"YES"
"From Corsica to Britain: new outdoor records of Ocnerodrilidae (Annelida: Clitellata) in western Europe"	"fea6b5c8-64bc-4fb9-8c36-bb4088f99e37"	"CHECKLIST"	"true"	"24"	"5"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_985.zip"	"2017-05-29"	"ABORT"	"YES"
"First record of the male of the widespread Calliscelio elegans (Perkins) (Hymenoptera, Platygastridae) along with some taxonomic notes on the species"	"31b10f4d-944b-44cd-ae88-4ce5a68c4ee8"	"CHECKLIST"	"true"	"7"	"5"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_983.zip"	"2017-05-29"	"ABORT"	"YES"
"Targeting a portion of central European spider diversity for permanent preservation"	"caaa6bf4-c6a1-4960-8b40-c817be0caaf0"	"CHECKLIST"	"true"	"1322"	"506"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_980.zip"	"2017-05-29"	"ABORT"	"YES"
"A contribution to the study of the Lower Volga center of scarab beetle diversity in Russia: checklist of the tribe Aphodiini (Coleoptera, Scarabaeidae) of Dosang environs"	"bf35f7fe-b65f-4b95-b495-ea6eefb240bd"	"CHECKLIST"	"true"	"122"	"73"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_979.zip"	"2017-05-29"	"ABORT"	"YES"
"First record of Tettigettalna mariae Quartau & Boulard, 1995 (Insecta: Hemiptera: Cicadoidea) in Spain"	"e246c57f-4f47-40ff-917d-573a42f8bc26"	"CHECKLIST"	"true"	"6"	"3"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_978.zip"	"2017-05-29"	"ABORT"	"YES"
"Ground beetles (Coleoptera: Carabidae) of rice field banks and restored habitats in an agricultural area of the Po Plain (Lombardy, Italy)"	"3ab8c4aa-8a39-4152-877a-2a10016a9f1c"	"CHECKLIST"	"true"	"0"	"140"	"d5b61ace-f25c-43bd-9dd0-03486850f90b"	"HTTP_INSTALLATION"	"750a8724-fa66-4c27-b645-bd58ac5ee010"	"Biodiversity Data Journal"		"unknown or invalid"	"2014-05-08"	"DWC_ARCHIVE"	"http://pensoft.net/dwc/bdj/checklist_972.zip"	"2017-05-29"	"ABORT"	"YES"
