"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"RMT Trawl catch from the 1986/87 V7 AAMBER voyage"	"7b7269b6-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"746"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-08-10"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"RMT Trawl catch from the 1984/85 V5 SIBEX2 voyage"	"7b714568-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2427"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-08-10"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"RMT Trawl catch from the 1983/84 V5 ADBEX II voyage"	"7b702b2e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"138"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-08-10"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"RMT Trawl catch from the 1982/83 V2 ADBEX I voyage"	"7b6f0500-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"936"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-08-10"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Queensland Museum provider for OZCAM"	"a79c2b50-6c8a-11de-8226-b8a03c50a862"	"OCCURRENCE"	"true"	"751081"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6"	"Queensland Museum"	"Australia"	"Australia"	"2010-05-04"	"DWC_ARCHIVE"	"http://ala-starr.it.csiro.au/archives/dr344/dr344_ror_dwca.zip"	"2017-06-13"	"ABORT"	"FALSE"	"YES"
"South Australian Museum Australia provider for OZCAM"	"fa375330-6c8a-11de-8226-b8a03c50a862"	"OCCURRENCE"	"true"	"213534"	"0"	"19893c10-381e-4534-9bb8-6c37d03ad29e"	"HTTP_INSTALLATION"	"4d0539cd-a2e0-4a2c-8b7d-ec6718eef764"	"South Australian Museum"	"Australia"	"Australia"	"2010-05-04"	"DWC_ARCHIVE"	"http://ala-starr.it.csiro.au/archives/dr346/dr346_ror_dwca.zip"	"2017-06-13"	"ABORT"	"FALSE"	"YES"
"RMT Trawl catch from the 2005/06 V3 BROKE-West voyage - Zooplankton"	"7a2530fc-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"890"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2010-03-11"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"RMT Trawl catch from the 1992/93 V6 KROCK voyage"	"71e95288-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1815"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-11-12"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Snow Petrel census, Reeve Hill, Windmill Island, East Antarctica (1984-2003)"	"71d20bc8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"7139"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-09-18"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Royal penguin Eudyptes schlegeli census, Macquarie Island, 1984"	"71d33bce-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"57"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-09-18"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
