"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"SuLaMa plant monitoring"	"bb6bccbd-4378-4641-9ee4-60d113a42d78"	"OCCURRENCE"	"true"	"115"	"0"	"603790d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"10980920-6dad-11da-ad13-b8a03c50a862"	"Museum für Naturkunde Berlin"	"Germany"	"Germany"	"2016-01-26"	"BIOCASE"	"http://biocase.naturkundemuseum-berlin.de/current/pywrapper.cgi?dsa=SuLaMa"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
"SuLaMa Galidictis grandidieri occurence data"	"ffa4c7a7-dc22-482a-af23-435898db67c6"	"OCCURRENCE"	"true"	"40"	"0"	"603790d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"10980920-6dad-11da-ad13-b8a03c50a862"	"Museum für Naturkunde Berlin"	"Germany"	"Germany"	"2016-01-26"	"BIOCASE"	"http://biocase.naturkundemuseum-berlin.de/current/pywrapper.cgi?dsa=SuLaMa"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
"SuLaMa blind cave fish occurence data"	"937bb0a3-e9e0-400a-8e07-0b33176953aa"	"OCCURRENCE"	"true"	"16"	"0"	"603790d6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"10980920-6dad-11da-ad13-b8a03c50a862"	"Museum für Naturkunde Berlin"	"Germany"	"Germany"	"2016-01-26"	"BIOCASE"	"http://biocase.naturkundemuseum-berlin.de/current/pywrapper.cgi?dsa=SuLaMa"	"2016-03-16"	"NORMAL"	"TRUE"	"YES"
"Chiroptera"	"c02fff39-7869-42c5-93ac-8ef3ca59a7e1"	"OCCURRENCE"	"true"	"0"	"0"	"f0bbf5b6-82be-4867-bede-4714d3d08b48"	"HTTP_INSTALLATION"	"041203aa-ec0f-4125-8553-10ebc00b4357"	"University of Kaiserslautern"	"Germany"	"Germany"	"2015-09-14"	"DWC_ARCHIVE"	"http://www-user.rhrk.uni-kl.de/~kusch/Chiroptera_Kaiserslautern.zip"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Trichoptera of the UNESCO biosphere reserve of the Palatinate forest / North Vosges (Germany, France)"	"0ebf1f88-0b36-4600-8806-d32c36928b8e"	"OCCURRENCE"	"true"	"897"	"0"	"f0bbf5b6-82be-4867-bede-4714d3d08b48"	"HTTP_INSTALLATION"	"041203aa-ec0f-4125-8553-10ebc00b4357"	"University of Kaiserslautern"	"Germany"	"Germany"	"2015-09-14"	"DWC_ARCHIVE"	"http://www-user.rhrk.uni-kl.de/~kusch/Trichoptera_Kaiserslautern.zip"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Lepidoptera of the UNESCO biosphere reserve of the Palatinate forest / North Vosges (Germany, France)"	"7106d2ff-f04d-436f-91b5-ff96b0d44fc5"	"OCCURRENCE"	"true"	"2303"	"0"	"f0bbf5b6-82be-4867-bede-4714d3d08b48"	"HTTP_INSTALLATION"	"041203aa-ec0f-4125-8553-10ebc00b4357"	"University of Kaiserslautern"	"Germany"	"Germany"	"2015-09-14"	"DWC_ARCHIVE"	"http://www-user.rhrk.uni-kl.de/~kusch/Lepidoptera_Kaiserslautern.zip"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"araneida"	"d0121865-5b34-43c5-8fdd-fec96672cf4d"	"OCCURRENCE"	"true"	"0"	"0"	"f0bbf5b6-82be-4867-bede-4714d3d08b48"	"HTTP_INSTALLATION"	"041203aa-ec0f-4125-8553-10ebc00b4357"	"University of Kaiserslautern"	"Germany"	"Germany"	"2015-09-04"	"DWC_ARCHIVE"	"http://www-user.rhrk.uni-kl.de/~kusch/Araneida_Kaiserslautern.zip"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"Herbarium Erlangense"	"ec81f6d4-e92f-480c-a73a-a4b71ba435cc"	"OCCURRENCE"	"true"	"16246"	"0"	"38290c67-22d0-4582-b288-641c29e913a2"	"BIOCASE_INSTALLATION"	"833f0d81-717d-4f11-95b0-0f738545adad"	"Friedrich-Alexander University of Erlangen-Nürnberg"	"Germany"	"Germany"	"2015-06-09"	"BIOCASE"	"http://sammlung.pal.uni-erlangen.de/biocase/pywrapper.cgi?dsa=herbariumerlangense"	"2017-06-08"	"ABORT"	"FALSE"	"YES"
"The Vascular Plant Collection at the Herbarium Tubingense"	"ab1de8e9-8a18-4ffe-b2c6-e13ffbec3e7e"	"OCCURRENCE"	"true"	"7383"	"0"	"6038e54e-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"0674aea0-a7e1-11d8-9534-b8a03c50a862"	"Staatliche Naturwissenschaftliche Sammlungen Bayerns"	"Germany"	"Germany"	"2015-05-12"	"BIOCASE"	"http://biocase.snsb.info/wrapper/pywrapper.cgi?dsa=TUBvplantscoll"	"2016-05-02"	"NORMAL"	"TRUE"	"YES"
"The Environmental Sample Collection of Spiders at the Staatliches Museum für Naturkunde Karlsruhe"	"70906b9c-9594-42e4-84fb-8cf0ee66d22f"	"OCCURRENCE"	"true"	"42619"	"0"	"6038e54e-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"0674aea0-a7e1-11d8-9534-b8a03c50a862"	"Staatliche Naturwissenschaftliche Sammlungen Bayerns"	"Germany"	"Germany"	"2015-05-12"	"BIOCASE"	"http://biocase.snsb.info/wrapper/pywrapper.cgi?dsa=SMNKspiderstudcoll"	"2016-05-02"	"NORMAL"	"TRUE"	"YES"
"The Spider Collection at the Staatliches Museum für Naturkunde Stuttgart"	"7a681cd5-9781-489f-a43b-dfd117967550"	"OCCURRENCE"	"true"	"1450"	"0"	"6038e54e-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"0674aea0-a7e1-11d8-9534-b8a03c50a862"	"Staatliche Naturwissenschaftliche Sammlungen Bayerns"	"Germany"	"Germany"	"2015-05-12"	"BIOCASE"	"http://biocase.snsb.info/wrapper/pywrapper.cgi?dsa=SMNS-E-araneaecoll"	"2016-05-02"	"NORMAL"	"TRUE"	"YES"
"The Herpetology Collection at the Staatliches Museum für Naturkunde Stuttgart"	"1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34"	"OCCURRENCE"	"true"	"13403"	"0"	"6038e54e-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"0674aea0-a7e1-11d8-9534-b8a03c50a862"	"Staatliche Naturwissenschaftliche Sammlungen Bayerns"	"Germany"	"Germany"	"2015-05-12"	"BIOCASE"	"http://biocase.snsb.info/wrapper/pywrapper.cgi?dsa=SMNS-Z-herpcoll"	"2016-05-02"	"NORMAL"	"TRUE"	"YES"
"The Fish Collection at the Zoologische Staatssammlung München"	"2f8a1bdb-1ef9-418b-abc7-a5535746f316"	"OCCURRENCE"	"true"	"15640"	"0"	"6038e54e-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"0674aea0-a7e1-11d8-9534-b8a03c50a862"	"Staatliche Naturwissenschaftliche Sammlungen Bayerns"	"Germany"	"Germany"	"2015-05-12"	"BIOCASE"	"http://biocase.snsb.info/wrapper/pywrapper.cgi?dsa=ZSMpiscescoll"	"2016-05-02"	"NORMAL"	"TRUE"	"YES"
"Field Museum of Natural History (Botany) - Historical Photographs of Type Specimens from Berlin (B)"	"7377c214-e7f1-4fc0-a9de-3b85728ccc11"	"OCCURRENCE"	"true"	"15902"	"0"	"60454014-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"57254bd0-8256-11d8-b7ed-b8a03c50a862"	"Botanic Garden and Botanical Museum Berlin-Dahlem"	"Germany"	"Germany"	"2014-12-18"	"BIOCASE"	"http://ww3.bgbm.org/biocase/pywrapper.cgi?dsa=BerlinNegatives"	"2016-03-17"	"NORMAL"	"TRUE"	"YES"
