"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Laupur"	"64a1189a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"601bc9aa-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"12308e00-4b80-11da-8809-b8a03c50a862"	"Icelandic Institute of Natural History"	"Iceland"	"Iceland"	"2008-07-15"	"DIGIR"	"http://svala.skrin.is:9080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Herbarium (ICEL)"	"83422c44-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"92061"	"0"	"601bc9aa-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"12308e00-4b80-11da-8809-b8a03c50a862"	"Icelandic Institute of Natural History"	"Iceland"	"Iceland"	"2007-04-03"	"DIGIR"	"http://svala.skrin.is:9080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Herbarium (AMNH)"	"83435394-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"53482"	"0"	"601bc9aa-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"12308e00-4b80-11da-8809-b8a03c50a862"	"Icelandic Institute of Natural History"	"Iceland"	"Iceland"	"2007-04-03"	"DIGIR"	"http://svala.skrin.is:9080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Observational database of Icelandic plants"	"83447e40-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"313162"	"0"	"601bc9aa-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"12308e00-4b80-11da-8809-b8a03c50a862"	"Icelandic Institute of Natural History"	"Iceland"	"Iceland"	"2007-04-03"	"DIGIR"	"http://svala.skrin.is:9080/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
