"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Biodiversitätsdatenbank des Landes Salzburg"	"882d105b-fa99-4c3b-a736-b43674ce91f3"	"OCCURRENCE"	"true"	"222426"	"0"	"6032a3a0-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"7a070ba0-bafb-11d9-8e53-b8a03c50a862"	"Haus der Natur Salzburg, Museum für Natur und Technik"	"Austria"	"Austria"	"2014-05-08"	"BIOCASE"	"http://hdnsql.hausdernatur.at/biocase/pywrapper.cgi?dsa=GBIF_HdN"	"2016-01-19"	"NORMAL"	"YES"
"Karl Franzens University of Graz, Insitute for Botany - Herbarium GZU"	"807a0573-87ec-4c1e-a23a-15a327c85dd3"	"OCCURRENCE"	"true"	"148366"	"0"	"602e4260-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"43587ad0-bafb-11d9-8e53-b8a03c50a862"	"University of Graz, Institute of Plant Sciences"	"Austria"	"Austria"	"2013-12-17"	"BIOCASE"	"http://131.130.131.9/biocase/pywrapper.cgi?dsa=gbif_gzu"	"2016-01-19"	"NORMAL"	"YES"
"University of Vienna, Institute for Botany - Herbarium WU"	"0afba960-be3b-4202-a7de-736ae05aec9e"	"OCCURRENCE"	"true"	"115324"	"0"	"602f7766-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"58520c30-bafb-11d9-8e53-b8a03c50a862"	"University of Vienna, Institute for Botany - Herbarium WU"	"Austria"	"Austria"	"2013-12-17"	"BIOCASE"	"http://131.130.131.9/biocase/pywrapper.cgi?dsa=gbif_wu"	"2016-01-19"	"NORMAL"	"YES"
"Landesmuseum Kärnten"	"06d3504c-a3bb-11e2-95b8-00145eb45e9a"	"OCCURRENCE"	"true"	"99300"	"0"	"603473a6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"f9912a00-84a9-11d9-8952-b8a03c50a862"	"Tiroler Landesmuseum Ferdinandeum"	"Austria"	"Austria"	"2013-04-12"					"YES"
"The DNA and Sample Repository at AIT"	"a4603234-322e-11e2-aba1-00145eb45e9a"	"OCCURRENCE"	"true"	"28801"	"0"	"603e8800-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"81bfa2a5-22a8-4bea-b91c-d54bda1365b9"	"AIT Austrian Institute of Technology GmbH"	"Austria"	"Austria"	"2012-11-19"	"BIOCASE"	"http://picme.ait.ac.at/pywrapper.cgi?dsa=AIT_Rep_Centre_Samples"	"2015-10-26"	"NORMAL"	"YES"
"Universität Salzburg"	"82746a3e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"15718"	"0"	"6033bcb8-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"b0a2cd60-4059-11de-9f59-b8a03c50a862"	"Universität Salzburg"	"Austria"	"Austria"	"2011-12-24"	"BIOCASE"	"http://81.10.184.26:9000/biocase/databases/szu/dbwrapper.py"	"2017-05-29"	"ABORT"	"YES"
"Österreichische Mykologische Gesellschaft"	"7f54a102-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"0"	"0"	"6033041c-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"839f8ed0-bafb-11d9-8e53-b8a03c50a862"	"Österreichische Mykologische Gesellschaft"	"Austria"	"Austria"	"2011-06-21"					"YES"
"Arbeitsgemeinschaft Heuschrecken Österreichs"	"95dc889a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"16469"	"0"	"60336164-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"723e80e0-bd38-11dd-b15e-b8a03c50a862"	"Arbeitsgemeinschaft Heuschrecken Österreichs"	"Austria"	"Austria"	"2008-12-04"	"BIOCASE"	"http://81.10.184.26:9000/biocase/databases/heuschreck/dbwrapper.py"	"2017-05-30"	"ABORT"	"YES"
"inatura - Erlebnis Naturschau Dornbirn"	"8642bfd0-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"200187"	"0"	"604e698c-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"fccc6740-bbb1-11d9-839f-b8a03c50a862"	"inatura - Erlebnis Naturschau Dornbirn"	"Austria"	"Austria"	"2007-07-27"					"YES"
"Tiroler Landesmuseum Ferdinandeum"	"7b904404-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"194339"	"0"	"603473a6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"f9912a00-84a9-11d9-8952-b8a03c50a862"	"Tiroler Landesmuseum Ferdinandeum"	"Austria"	"Austria"	"2007-03-29"					"YES"
"Floristische Kartierung Österreichs - Mapping the Flora of Austria"	"85ab1bf8-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"22817"	"0"	"603ca864-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"64995bb0-bafb-11d9-8e53-b8a03c50a862"	"University of Vienna, Institute for Botany, Research Group for Plant Biogeography"	"Austria"	"Austria"	"2007-03-28"					"YES"
"Natural History Museum, Vienna - Herbarium W"	"7f5260c2-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"148839"	"0"	"602f1096-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"4e11d750-bafb-11d9-8e53-b8a03c50a862"	"Natural History Museum, Vienna - Herbarium W"	"Austria"	"Austria"	"2007-03-28"	"BIOCASE"	"http://131.130.131.9/biocase/pywrapper.cgi?dsa=gbif_w"	"2016-01-28"	"NORMAL"	"YES"
"Biologiezentrum Linz"	"857bce66-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2241402"	"0"	"603419f6-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"2d6e0e40-2aee-11d8-aa2d-b8a03c50a862"	"Biologiezentrum Linz Oberoesterreich"	"Austria"	"Austria"	"2007-03-13"					"YES"
