"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"CZE National PGR Inventory"	"e17d9bdc-dc88-401a-bb10-6ef560448480"	"OCCURRENCE"	"true"	"50682"	"0"	"605d5c26-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"417c3159-419c-4325-a257-c482371860c6"	"Crop Research Institute (CRI)"	"Bioversity International"	"Italy"	"2010-05-21"	"DWC_ARCHIVE"	"http://gbif.vurv.cz/ipt/resource/9e51f312-c6f6-43d0-86c7-7617ea57601b/archive-dwc.zip"	"2017-05-29"	"ABORT"	"YES"
"SINGER Coordinator"	"96867b98-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"270806"	"0"	"60361c38-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"a3c228d0-3110-11db-abb8-b8a03c50a862"	"Bioversity International"	"Bioversity International"	"Italy"	"2009-04-30"					"YES"
"EURISCO, The European Genetic Resources Search Catalogue"	"865df020-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"976457"	"0"	"60361c38-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"a3c228d0-3110-11db-abb8-b8a03c50a862"	"Bioversity International"	"Bioversity International"	"Italy"	"2007-10-09"					"YES"
"The System-wide Information Network for Genetic Resources (SINGER)"	"85818aea-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"683018"	"0"	"60361c38-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"a3c228d0-3110-11db-abb8-b8a03c50a862"	"Bioversity International"	"Bioversity International"	"Italy"	"2007-03-23"					"YES"
