"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"orphaned?(YES/NO)"
"Dados da ocorrência de plantas lenhosas em um gradiente de perturbação/precipitação em área de Caatinga, Parque Nacional do Catimbau, Buíque, PE, Brasil"	"d2f80269-9c4d-4689-b8a9-511c613d7681"	"SAMPLING_EVENT"	"true"	"5314"	"0"	"2b434fd1-4825-4b61-9df3-62468bfe0587"	"IPT_INSTALLATION"	"f5fd374b-89cb-4ab6-b3eb-794c65f232c3"	"Sistema de Informação sobre a Biodiversidade Brasileira - SiBBr"	"Brazil"	"Brazil"	"2016-09-01"	"DWC_ARCHIVE"	"http://ipt.sibbr.gov.br/peld/archive.do?r=peld_catimbau_monitoramento"	"2016-09-05"	"NORMAL"	"YES"
"Levantamento de Arbóreas presentes na campina do RDSU"	"c84b0aff-beb5-4dbb-a314-1eb32229ad68"	"METADATA"	"true"	"0"	"0"	"ada4205f-679c-4a86-9759-ff652ac467b3"	"IPT_INSTALLATION"	"c0d9c91a-0f83-4819-bf7e-bb5e1184eb6b"	"Instituto Nacional de Pesquisas da Amazônia - INPA"	"Brazil"	"Brazil"	"2015-09-11"					"YES"
"Community dynamics in a species-rich patch in the Brazilian Atlantic Forest near Viçosa/MG"	"739cf09a-d05e-4241-91ba-418b756f3ed5"	"OCCURRENCE"	"true"	"435"	"0"	"45c35e25-6c58-43f4-b1aa-9d5f788a987e"	"HTTP_INSTALLATION"	"9e1ad169-1f58-48fb-ad7a-3b2b4544d875"	"Laboratory of Ecology and Evolution of Plants, at Universidade Federal de Vicosa"	"Brazil"	"Brazil"	"2014-05-20"					"YES"
"Coleção Entomológica Pe. Jesus Santiago Moure (Hymenoptera)"	"86acf7e2-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"16425"	"0"	"601b6762-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8595cd50-87c0-11dc-bb35-b8a03c50a862"	"Centro de Referência em Informação Ambiental"	"Brazil"	"Brazil"	"2007-12-04"	"DIGIR"	"http://srpollinator.cria.org.br:80/provider/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
"Coleção Entomológica do Depto. de Sistemática e Ecologia"	"86b11106-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"9633"	"0"	"601b6762-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8595cd50-87c0-11dc-bb35-b8a03c50a862"	"Centro de Referência em Informação Ambiental"	"Brazil"	"Brazil"	"2007-12-04"	"DIGIR"	"http://srpollinator.cria.org.br:80/provider/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
"Coleção de Abelhas do Museu de Ciências e Tecnologia da PUCRS"	"86b3c16c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"28934"	"0"	"601b6762-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8595cd50-87c0-11dc-bb35-b8a03c50a862"	"Centro de Referência em Informação Ambiental"	"Brazil"	"Brazil"	"2007-12-04"	"DIGIR"	"http://srpollinator.cria.org.br:80/provider/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
"Coleção Entomológica Paulo Nogueira-Neto - IB/USP"	"86aba78e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"41646"	"0"	"601b6762-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8595cd50-87c0-11dc-bb35-b8a03c50a862"	"Centro de Referência em Informação Ambiental"	"Brazil"	"Brazil"	"2007-12-04"	"DIGIR"	"http://srpollinator.cria.org.br:80/provider/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
"Coleção de Entomologia do Laboratório de Biologia Vegetal"	"7bf28b64-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"33347"	"0"	"601b6762-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"8595cd50-87c0-11dc-bb35-b8a03c50a862"	"Centro de Referência em Informação Ambiental"	"Brazil"	"Brazil"	"2007-12-04"	"DIGIR"	"http://srpollinator.cria.org.br:80/provider/DiGIR.php"	"2016-01-19"	"NORMAL"	"YES"
