"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Colección de Crustacea del Museo Nacional de Historia Natural de Chile"	"1897e78a-b927-42fa-ad76-4c7686d62b45"	"OCCURRENCE"	"true"	"1866"	"0"	"70d271a4-b6af-456e-8fc3-3ca479f6641f"	"IPT_INSTALLATION"	"bf0d80b3-46da-4e60-b1cf-39f2320acb43"	"Ministerio del Medio Ambiente de Chile"	"Chile"	"Chile"	"2014-05-20"	"DWC_ARCHIVE"	"http://gbif-chile.mma.gob.cl/ipt/archive.do?r=mnhn-cl2"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Colección de Algas del Herbario Nacional, Museo Nacional de Historia Natural de Chile"	"398d8e6d-e7cf-4582-a18a-d34aa4ddd7c0"	"OCCURRENCE"	"true"	"2444"	"0"	"70d271a4-b6af-456e-8fc3-3ca479f6641f"	"IPT_INSTALLATION"	"bf0d80b3-46da-4e60-b1cf-39f2320acb43"	"Ministerio del Medio Ambiente de Chile"	"Chile"	"Chile"	"2014-05-20"	"DWC_ARCHIVE"	"http://gbif-chile.mma.gob.cl/ipt/archive.do?r=mnhncl"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Observaciones de Especies Silvestres (by Charif Tala)"	"d40e93a3-63fe-4c2f-be30-af21d4b66a95"	"OCCURRENCE"	"true"	"6686"	"0"	"70d271a4-b6af-456e-8fc3-3ca479f6641f"	"IPT_INSTALLATION"	"bf0d80b3-46da-4e60-b1cf-39f2320acb43"	"Ministerio del Medio Ambiente de Chile"	"Chile"	"Chile"	"2014-05-20"	"DWC_ARCHIVE"	"http://gbif-chile.mma.gob.cl/ipt/archive.do?r=ctala"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Base de datos de colectas Región de Atacama en Herbario de la Universidad de La Serena"	"42aceab6-e193-4df1-87a1-81eeca0871af"	"OCCURRENCE"	"true"	"0"	"0"	"70d271a4-b6af-456e-8fc3-3ca479f6641f"	"IPT_INSTALLATION"	"bf0d80b3-46da-4e60-b1cf-39f2320acb43"	"Ministerio del Medio Ambiente de Chile"	"Chile"	"Chile"	"2014-05-20"	"DWC_ARCHIVE"	"http://gbif-chile.mma.gob.cl/ipt/archive.do?r=userena"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Naturalis Biodiversity Center (NL) - Micropaleontology"	"64ed2b22-713a-4494-b4e7-45aada16697d"	"OCCURRENCE"	"true"	"97343"	"0"	"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf"	"HTTP_INSTALLATION"	"396d5f30-dea9-11db-8ab4-b8a03c50a862"	"Naturalis Biodiversity Center"	"Netherlands"	"Netherlands"	"2014-03-26"	"DWC_ARCHIVE"	"http://api.biodiversitydata.nl/v0/specimen/search/dwca/?collection=micropaleontology"	"2016-02-25"	"NORMAL"	"FALSE"	"YES"	"0"	"TRUE"
"Naturalis Biodiversity Center (NL) - Collembola"	"4f8de55f-5967-46c4-b689-31de17090ed4"	"OCCURRENCE"	"true"	"29171"	"0"	"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf"	"HTTP_INSTALLATION"	"396d5f30-dea9-11db-8ab4-b8a03c50a862"	"Naturalis Biodiversity Center"	"Netherlands"	"Netherlands"	"2014-03-26"	"DWC_ARCHIVE"	"http://api.biodiversitydata.nl/v0/specimen/search/dwca/?collection=collembola"	"2016-02-25"	"NORMAL"	"FALSE"	"YES"	"0"	"TRUE"
"French national collection of Solanum tuberosum"	"1fa7b6d4-01c7-4fcb-a67d-f245854ebb5e"	"OCCURRENCE"	"true"	"99"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"7c4f3b54-fc4b-42f3-a664-3ca93d12e10f"	"Institut National de la Recherche Agronomique (INRA)"	"France"	"France"	"2014-02-17"	"DWC_ARCHIVE"	"http://www.gbif.fr:8080/ipt/archive.do?r=potatoinra"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Reunion_Coffea"	"510b8030-6293-4bd9-812d-c195a9915a74"	"OCCURRENCE"	"true"	"807"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"4bce8f23-20a5-48a7-b25a-83700caad2db"	"INRA Antilles-Guyane"	"France"	"France"	"2014-02-05"	"DWC_ARCHIVE"	"http://www.gbif.fr:8080/ipt/archive.do?r=reunion_coffea"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"A taxonomic synopsis of Altingiaceae with nine new combinations"	"9324c04c-7ac6-4b69-b98c-4472c51c73c5"	"OCCURRENCE"	"true"	"0"	"0"	"d371dfc3-ef14-48b5-97f8-1de9d3f9f874"	"IPT_INSTALLATION"	"fc871c4a-bb5e-4db6-b332-487bc23797f1"	"PhytoKeys"		"unknown or invalid"	"2013-12-17"	"DWC_ARCHIVE"	"http://ipt.pensoft.net/archive.do?r=altingiaceae_synopsis"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"RAVON (NL) - Fish observations extracted from Redeke (1907)"	"0e7bd6f7-7fc6-4150-a531-2209f7156a91"	"OCCURRENCE"	"true"	"0"	"0"	"97dfec69-b198-43ba-a8fa-c5edbc04e324"	"IPT_INSTALLATION"	"8629d002-c1cf-4c61-9895-55ca7cd0e149"	"Reptile, Amphibian and Fish Conservation Netherlands (RAVON)"	"Netherlands"	"Netherlands"	"2013-06-06"	"DWC_ARCHIVE"	"http://ipt.nlbif.nl/ipt/archive.do?r=ravon-fish-redeke1907"	"2017-11-01"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
